VC001,"ABC@home",21/11/06,"Mathematical Institute of Leiden University, Kennislink","Mathematics","Find triples related to the ABC conjecture, one of the greatest open problems in mathematics",Yes,12.333 (Feb 2012),http://abcathome.com/
VC002,"Asteroids@home",20/06/12,"Charles University in Prague, Czech","Astrophysics","To significantly enlarge our knowledge of the physical properties of asteroids",Yes,135.065 (Jan 2014),http://asteroidsathome.net/boinc/
VC003,"ATLAS@Home",19/06/14,"CERN","Physics","ATLAS@Home is a research project that uses volunteer computing to run simulations of the ATLAS experiment at CERN.",Yes,0.759 (Oct 2014),http://atlasathome.cern.ch/
VC004,"Background Pi",,,"Mathematics","Computes decimal digits of pi using digit extraction method",No,,http://sourceforge.net/projects/backpi/
VC005,"BURP",17/06/04,,"Art","Rendering of 3D animations",Yes,0.198 (Feb 2012),http://burp.renderfarming.net/
VC006,"CAS@home",01/01/10,"Chinese Academy of Sciences","Physics, biochemistry, and others","Encourage Chinese scientists to use volunteer computing for their research",Yes,1.319 (Feb 2012),http://casathome.ihep.ac.cn/
VC007,"Climateprediction.net",09/12/03,"Oxford University","Climate study","Analyse ways to improve climate prediction models",Yes,34.925 (Feb 2012),http://www.climateprediction.net/
VC008,"Collatz Conjecture",06/01/09,,"Mathematics","Study the Collatz conjecture, an unsolved conjecture in mathematics",Yes,623.444 (Feb 2012),http://boinc.thesonntags.com/collatz/
VC009,"Comcute",2010,"Gda_sk University of Technology, Faculty of Electronics, Telecommunications and Informatics","Mathematics, Artificial intelligence, Physics","Genetic positioning of fire stations, image processing techniques, Mersenne-number finding, and distributed detection of selected features in data streams",No,,http://comcute.eti.pg.gda.pl/en/
VC010,"Constellation",,"Students at the University of Stuttgart, Germany","Aerospace, Engineering","Various aerospace-related science and engineering problems",Yes,2.150 (Feb 2012),http://boinc.berkeley.edu/projects.php
VC011,"Correlizer",,"EpiGenSys Consortium and EraSysBio+, part of the Seventh Framework Program of the European Union","Genetics","The sequential organization of genomes, and its connection to their 3D architectural organization",Yes,1.607 (Feb 2012),http://svahesrv2.bioquant.uni-heidelberg.de/correlizer/index.php
VC012,"Cosmology@home",,"University of Illinois at Urbana-Champaign","Astronomy","Find the most accurate models that best describe the universe",Yes,9.119 (Feb 2012),http://www.cosmologyathome.org/
VC013,"Distributed Data Mining",15/02/10,,"Data analysis, machine learning","Research in the various fields of data analysis and machine learning, such as stock market prediction and analysis of medical data",Yes,0.968 (Feb 2012),http://www.distributeddatamining.org/
VC014,"Distributed.net",28/01/97,,"Cryptography, Mathematics","Crack the RC5-72 cipher, find optimal Golomb rulers of length 28",No,,http://www.distributed.net/Main_Page
VC015,"DistrRTgen",12/01/08,,"Cryptography","Analysis of hash strength for password security by developing rainbow tables",Yes,270.150 (Feb 2012),http://boinc.freerainbowtables.com/distrrtgen/
VC016,"Einstein@home",19/02/05,"University of Wisconsin, Milwaukee, Max Planck Institute","Astrophysics","Search for pulsars using radio signals and gravitational wave data",Yes,"1,138 (Aug 2013)",http://www.einsteinathome.org/
VC017,"Enigma@home",09/09/07,,"Cryptography","Decode three unbroken Enigma messages from World War II",Yes,7.175 (Feb 2012),http://www.enigmaathome.net/
VC018,"Fishtest",13/02/13,,"Software testing, game-playing","Validates patches to the Stockfish chess engine by playing thousands of chess games at fast time controls between different versions of the engine",No,,https://stockfishchess.org/get-involved/
VC019,"Folding@home",01/10/00,"Stanford University","Molecular biology","Understand protein folding, misfolding, and related diseases, with a minor emphasis in protein structure prediction",No,"39,673 (Sep 2014)",http://folding.stanford.edu/
VC020,"FreeHAL",2006,,"Artificial intelligence","Compute essential information for software which seeks to imitate human conversation",Yes,14.019 (Feb 2012),http://freehal.github.io/
VC021,"Galaxy Zoo",,"zooniverse","Astrophysics","Classifies galaxy types from the Sloan Digital Sky Survey.",No,,http://www.galaxyzoo.org/
VC022,"Goldbach's Conjecture",,,"Mathematics","Tests Goldbach's weak conjecture.",no,,http://sweet.ua.pt/tos/goldbach.html
VC023,"Great Internet Mersenne Prime Search (GIMPS)",01/01/96,,"Mathematics","Searches for Mersenne primes of world record size",No,174 (Feb 2014),http://www.mersenne.org/
VC024,"Ibercivis",,"Spanish universities and research centers","Various Spanish projects","Research in physics, material medicine, and biomedicine",Yes,3.022 (Feb 2012),http://www.ibercivis.com/
VC025,"Leiden Classical",12/05/05,"Leiden University, the Netherlands","Chemistry","General classical mechanics for students or scientists",Yes,1.644 (Feb 2012),http://boinc.gorlaeus.net/
VC026,"LHC@home",01/08/11,"CERN","Physics","Run virtual simulations of high-energy particle collisions in a computational search for new fundamental particles for the Large Hadron Collider at CERN",Yes,2.420 (Feb 2012),http://lhcathome.web.cern.ch/test4theory/always-wanted-virtual-atom-smasher
VC027,"LHC@home",09/01/04,"CERN","Physics","Improve the design of the Large Hadron Collider and its detectors",Yes,0.281 (Feb 2012),http://lhcathome2.cern.ch/vLHCathome/
VC028,"Sixtrack Project",,"CERN","Physics","Numerical Simulations",no,,http://lhcathomeclassic.cern.ch/sixtrack/
VC030,"Malariacontrol.net",19/12/06,"Swiss Tropical Institute","Epidemiology","Simulate the transmission dynamics and health effects of malaria",Yes,14.197 (Feb 2012),http://malariacontrol.net/
VC031,"Milkyway@home",07/07/07,"Rensselaer Polytechnic Institute","Astronomy","Create a highly accurate three-dimensional model of the Milky Way galaxy using data collected from the Sloan Digital Sky Survey",Yes,"1,175 (Aug 2013)",http://milkyway.cs.rpi.edu/milkyway/
VC032,"MindModeling@home",17/03/07,"University of Dayton Research Institute and Wright State University","Cognitive science","Builds cognitive models of the human mind",Yes,0.006 (Feb 2012),https://mindmodeling.org/beta/
VC033,"Moo! Wrapper",05/02/11,,"Cryptography","Combines BOINC with distributed.net to try to break the RC5 cipher",Yes,807.208 (Feb 2012),http://moowrap.net/
VC034,"Muon1 Distributed Particle Accelerator Design",,,"Physics","Simulate and design parts of the Neutrino Factory particle accelerator",No,,http://stephenbrooks.org/muon1/
VC035,"Najmanovich Research Group",,"Université de Sherbrooke","Molecular biology","Research in molecular recognition",Yes,0.390 (Feb 2012),http://boinc.med.usherbrooke.ca/nrg/
VC036,"Neurona@home",14/06/11,"Complutense University of Madrid, Spain","Neural network","Simulating the behavior of a large and complex network of cellular automata neurons",Yes,0.157 (Feb 2012),http://www.artificialbrains.com/neurona-at-home
VC037,"NFS@home",05/09/09,"California State University Fullerton","Integer factorization","Performs parts of the Number Field Sieve in the factorization of large integers",Yes,3.106 (Feb 2012),http://escatter11.fullerton.edu/nfs/
VC038,"NNGenerator",20/10/14,,"Mathematics, finance, and artificial neural networks","Distributed system based on neural networks for analysis and forecasting time series",No,0.001 (Oct 2014),https://github.com/jhurt/NNGenerator
VC039,"NumberFields@home",12/08/11,"Arizona State University's School of Mathematics","Number theory","Search for number fields with special properties to assist with the formulation of mathematical conjectures",Yes,3.130 (Feb 2012),http://numberfields.asu.edu/NumberFields/
VC040,"Optima@home",,"Institute for Systems Analysis of Russian Academy of Sciences","Optimization","Solve various large-scale optimization problems, currently finding molecular conformations which have minimal potential energy",Yes,0.241 (Feb 2012),http://boinc.isa.ru/dcsdg/
VC041,"Pirates@home",06/02/04,"Spy Hill Research","Software testing","Test of BOINC, no current scientific computation",Yes,0.007 (Feb 2012),http://pirates.spy-hill.net/
VC042,"POEM@Home",13/11/07,"University of Karlsruhe, Germany","Molecular biology","Protein structure prediction, cellular signaling, protein aggregation, and drug design",Yes,107.756 (Feb 2012),http://boinc.fzk.de/poem/
VC043,"Primaboinca",,"RheinMain University of Applied Sciences","Mathematics","Search for counterexamples to Agrawal's conjecture and Popovych's conjecture, which relate to the identification of prime numbers",Yes,5.544 (Feb 2012),www.primaboinca.com/
VC044,"QMC@home",03/03/06,"University of Muenster, Germany","Chemistry","Study the structure and reactivity of molecules using quantum chemistry and Monte Carlo techniques",Yes,12.460 (Feb 2012),http://qmcathome.org/
VC045,"Quake Catcher Network",03/02/08,"Stanford University","Seismology","Uses accelerometers connected to personal computers to detect earthquakes and to educate about seismology",Yes,0.141 (Feb 2012),http://qcn.stanford.edu/
